,Compound,Date,Media Outlet,Negative,Neutral,Positive,Tweets Ago
66,0.0,Tue Aug 28 12:48:59 +0000 2018,@BBC,1.0,0.0,0.0,67
67,0.4767,Tue Aug 28 12:00:18 +0000 2018,@BBC,0.728,0.0,0.272,68
68,0.8316,Tue Aug 28 11:33:00 +0000 2018,@BBC,0.63,0.0,0.37,69
69,-0.296,Tue Aug 28 11:01:01 +0000 2018,@BBC,0.896,0.104,0.0,70
70,0.4215,Tue Aug 28 08:00:16 +0000 2018,@BBC,0.823,0.0,0.177,71
71,0.0,Tue Aug 28 07:26:06 +0000 2018,@BBC,1.0,0.0,0.0,72
72,0.128,Tue Aug 28 07:00:13 +0000 2018,@BBC,0.821,0.077,0.103,73
73,0.624,Mon Aug 27 20:01:03 +0000 2018,@BBC,0.806,0.0,0.194,74
74,0.0772,Mon Aug 27 19:36:00 +0000 2018,@BBC,0.936,0.0,0.064,75
75,0.5859,Mon Aug 27 19:03:04 +0000 2018,@BBC,0.752,0.062,0.186,76
76,-0.4939,Mon Aug 27 18:12:05 +0000 2018,@BBC,0.862,0.138,0.0,77
77,0.0,Mon Aug 27 17:05:04 +0000 2018,@BBC,1.0,0.0,0.0,78
78,0.0772,Mon Aug 27 16:03:04 +0000 2018,@BBC,0.944,0.0,0.056,79
79,0.0,Mon Aug 27 14:08:03 +0000 2018,@BBC,1.0,0.0,0.0,80
80,0.0,Tue Aug 28 18:56:05 +0000 2018,@BBC,1.0,0.0,0.0,81
81,0.5423,Tue Aug 28 18:03:04 +0000 2018,@BBC,0.78,0.0,0.22,82
82,0.0,Tue Aug 28 16:01:02 +0000 2018,@BBC,1.0,0.0,0.0,83
83,0.5994,Tue Aug 28 14:51:38 +0000 2018,@BBC,0.795,0.0,0.205,84
84,0.3612,Tue Aug 28 14:51:32 +0000 2018,@BBC,0.848,0.0,0.152,85
85,0.0,Tue Aug 28 13:02:04 +0000 2018,@BBC,1.0,0.0,0.0,86
